국가,방한 외래관광객,전년동기 관광객,전년대비 증감률,구성비,순위
모잠비크,67.0,13.0,415.4,0.0,128
파푸아뉴기니,66.0,83.0,-20.5,0.0,130
도미니카연방,65.0,61.0,6.6,0.0,131
세인트 킷츠 네비스,59.0,74.0,-20.3,0.0,132
볼리비아,56.0,42.0,33.3,0.0,133
세네갈,50.0,60.0,-16.7,0.0,134
쿠바,48.0,56.0,-14.3,0.0,135
서사모아,45.0,36.0,25.0,0.0,136
수단,44.0,29.0,51.7,0.0,137
그레나다,43.0,44.0,-2.3,0.0,138
카메룬,43.0,77.0,-44.2,0.0,138
코트디부아르,43.0,87.0,-50.6,0.0,138
콩고민주공화국,41.0,52.0,-21.2,0.0,141
감비아,41.0,21.0,95.2,0.0,141
보스니아ㆍ헤르체고비나,41.0,15.0,173.3,0.0,141
잠비아,39.0,29.0,34.5,0.0,144
부룬디,37.0,18.0,105.6,0.0,145
미크로네시아,31.0,48.0,-35.4,0.0,146
세인트 루치아,28.0,42.0,-33.3,0.0,147
보츠와나,26.0,36.0,-27.8,0.0,148
아프가니스탄,22.0,31.0,-29.0,0.0,149
몰디브,22.0,33.0,-33.3,0.0,149
코소보,22.0,13.0,69.2,0.0,149
바누아투,22.0,11.0,100.0,0.0,149
국적미상,21.0,19.0,10.5,0.0,153
팔레스타인,20.0,40.0,-50.0,0.0,154
바베이도스,20.0,13.0,53.8,0.0,154
아이티,19.0,16.0,18.8,0.0,156
모리타니,19.0,6.0,216.7,0.0,156
팔라우,18.0,10.0,80.0,0.0,158
나미비아,18.0,15.0,20.0,0.0,158
마샬군도,17.0,10.0,70.0,0.0,160
마케도니아,17.0,9.0,88.9,0.0,160
앤티가 바부다,16.0,22.0,-27.3,0.0,162
가이아나,16.0,35.0,-54.3,0.0,162
세인트 빈센트 그레나딘,16.0,22.0,-27.3,0.0,162
안도라,16.0,4.0,300.0,0.0,162
리히텐슈타인,16.0,19.0,-15.8,0.0,162
키리바시,16.0,11.0,45.5,0.0,162
앙골라,16.0,34.0,-52.9,0.0,162
말라위,15.0,11.0,36.4,0.0,169
말리,15.0,11.0,36.4,0.0,169
부르키나 파소,15.0,8.0,87.5,0.0,169
베냉,14.0,15.0,-6.7,0.0,172
기니,12.0,8.0,50.0,0.0,173
레소토,12.0,23.0,-47.8,0.0,173
영국교포,12.0,5.0,140.0,0.0,173
벨리즈,10.0,5.0,100.0,0.0,176
수리남,10.0,16.0,-37.5,0.0,176
라이베리아,10.0,11.0,-9.1,0.0,176
에스와티니,10.0,53.0,-81.1,0.0,176
토고,10.0,16.0,-37.5,0.0,176
통가,9.0,12.0,-25.0,0.0,181
솔로몬군도,8.0,16.0,-50.0,0.0,182
콩고,8.0,18.0,-55.6,0.0,182
가봉,8.0,13.0,-38.5,0.0,182
세이셸,8.0,2.0,300.0,0.0,182
모나코,7.0,2.0,250.0,0.0,186
카보베르데,6.0,1.0,500.0,0.0,187
산마리노,4.0,4.0,0.0,0.0,188
시에라리온,4.0,4.0,0.0,0.0,188
소말리아,4.0,7.0,-42.9,0.0,188
남수단공화국,4.0,5.0,-20.0,0.0,188
코모로,3.0,3.0,0.0,0.0,192
에리트레아,3.0,3.0,0.0,0.0,192
투발루,2.0,7.0,-71.4,0.0,194
중앙아프리카공화국,2.0,1.0,100.0,0.0,194
차드,2.0,1.0,100.0,0.0,194
지부티,2.0,6.0,-66.7,0.0,194
적도 기니,2.0,6.0,-66.7,0.0,194
나우루,0.0,9.0,-100.0,0.0,199
기니비사우,0.0,2.0,-100.0,0.0,199
바티칸,0.0,0.0,,,199
니제르,0.0,0.0,,,199
영국령 인도양지역,0.0,0.0,,,199
기타 유럽,0.0,0.0,,,199
